Name,Link,Nutritional Values,Category,Tags
light-cream,https://www.nutritionix.com/uk/food/light-cream,"['Nutrition Facts', 'Light Cream', 'Serving Size:', 'ml (10g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 17', 'Calories 19', 'Total Fat 1.9g', 'grams', 'Saturated Fat 1g', 'grams', 'Trans Fat 0.1g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.5g', 'grams', 'Cholesterol 6mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 14mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.4g', 'grams', 'Protein 0.3g', 'grams']",Food / Beverages > Dairy & Egg Products > Creams & Creamers,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Ketogenic Diet', 'Low Sodium', 'Sugar Free']"
arugula,https://www.nutritionix.com/uk/food/arugula,"['Nutrition Facts', 'Arugula', 'Serving Size:', 'grams (10g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.6', 'Calories 2.5', 'Total Fat 0.1g', 'grams', 'Saturated Fat 0g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 37mg', 'milligrams', 'Total Carbohydrates 0.4g', 'grams', 'Dietary Fiber 0.2g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 0.3g', 'grams']",Find on Amazon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Calorie Free', 'Low Calorie', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Sugar Free', 'Calorie Free - FDA Shelf Tag', 'Low Calorie - FDA Shelf Tag', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'No Wheat Ingredients', 'No Milk Ingredients', 'No Soy Ingredients', 'No Fish Ingredients', 'No Crustacean Shellfish Ingredients', 'No Molluscan Shellfish Ingredients', 'No Tree Nut Ingredients', 'No Peanut Ingredients', 'No Egg Ingredients', 'No Added Sugars', 'No Artificial Sweeteners', 'No Artificial Colors', 'No Artificial Flavors', 'No Gluten Ingredients', 'No High Fructose Corn Syrup', 'No Added Salt', 'No Artificial Preservatives', 'No Artificial Ingredients', 'Vegan', 'Vegetarian', 'Pescatarian', 'Paleo (Strict)', 'Paleo (Friendly)', 'Whole Food', 'Plant Based Whole Food', '5 Ingredients or Less', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Sugar Free - FDA Shelf Tag', 'Lifestyle - Carb', 'Lifestyle - Sodium', 'Lifestyle - Sugar', 'Mediterranean Diet', 'Plant Powered']"
courgetti,https://www.nutritionix.com/uk/food/courgetti,"['Nutrition Facts', 'Courgetti', 'Serving Size:', 'grams (118g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3.4', 'Calories 20', 'Total Fat 0.4g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 308mg', 'milligrams', 'Total Carbohydrates 3.7g', 'grams', 'Dietary Fiber 1.2g', 'grams', 'Sugars 3g', 'grams', 'Protein 1.4g', 'grams']",Food / Beverages > Bakery / Deli > Prepared & Preserved Foods > Pasta & Noodles (Perishable),"['Atkins 100', 'Atkins Friendly', 'Low Calorie', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Low Calorie - FDA Shelf Tag', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Lifestyle - Carb', 'Lifestyle - Sodium']"
blood-sausage,https://www.nutritionix.com/uk/food/blood-sausage,"['Nutrition Facts', 'Blood Sausage', 'Serving Size:', 'grams (113g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 352', 'Calories 430', 'Total Fat 39g', 'grams', 'Saturated Fat 15g', 'grams', 'Polyunsaturated Fat 3.9g', 'grams', 'Monounsaturated Fat 18g', 'grams', 'Cholesterol 136mg', 'milligrams', 'Salt 1.9g', 'grams', 'Potassium 43mg', 'milligrams', 'Total Carbohydrates 1.5g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 1.5g', 'grams', 'Protein 17g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Sausage,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Low Carb', 'Carb Friendly', 'Ketogenic Diet']"
fruit-preserves,https://www.nutritionix.com/uk/food/fruit-preserves,"['Nutrition Facts', 'Fruit Preserves', 'Serving Size:', 'grams (20g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.1', 'Calories 56', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 15mg', 'milligrams', 'Total Carbohydrates 14g', 'grams', 'Dietary Fiber 0.2g', 'grams', 'Sugars 9.7g', 'grams', 'Protein 0.1g', 'grams']",Food / Beverages > Grocery > Condiments > Fruit-Based Spreads,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
gammon,https://www.nutritionix.com/uk/food/gammon,"['Nutrition Facts', 'Gammon', 'Serving Size:', 'grams (134g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 62', 'Calories 186', 'Total Fat 6.8g', 'grams', 'Saturated Fat 1.3g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.8g', 'grams', 'Monounsaturated Fat 2.6g', 'grams', 'Cholesterol 86mg', 'milligrams', 'Salt 3.3g', 'grams', 'Potassium 462mg', 'milligrams', 'Total Carbohydrates 1.4g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 1.4g', 'grams', 'Protein 30g', 'grams']","Food / Beverages > Bakery / Deli > Prepared & Preserved Foods > Prepared Meats, Poultry & Seafood > Cooked Meat (Perishable)","['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Low Carb', 'Carb Friendly']"
sweetcorn,https://www.nutritionix.com/uk/food/sweetcorn,"['Nutrition Facts', 'Sweetcorn', 'Serving Size:', 'grams (103g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 14', 'Calories 99', 'Total Fat 1.5g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.6g', 'grams', 'Monounsaturated Fat 0.4g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 225mg', 'milligrams', 'Total Carbohydrates 22g', 'grams', 'Dietary Fiber 2.5g', 'grams', 'Sugars 4.7g', 'grams', 'Protein 3.5g', 'grams']",Food / Beverages > Produce > Corn (Fresh),"['100 Calories or Less', 'Cholesterol Free', 'Low Cholesterol', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'No Wheat Ingredients', 'No Milk Ingredients', 'No Soy Ingredients', 'No Fish Ingredients', 'No Crustacean Shellfish Ingredients', 'No Molluscan Shellfish Ingredients', 'No Tree Nut Ingredients', 'No Peanut Ingredients', 'No Egg Ingredients', 'No Added Sugars', 'No Artificial Sweeteners', 'No Refined Grains', 'No Artificial Colors', 'No Artificial Flavors', 'No Gluten Ingredients', 'No High Fructose Corn Syrup', 'No Added Salt', 'No Artificial Preservatives', 'No Artificial Ingredients', 'Vegan', 'Vegetarian', 'Pescatarian', 'Whole Food', 'Plant Based Whole Food', 'Whole Grain', '5 Ingredients or Less', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'DASH Diet', 'Lifestyle - Sodium', 'Lifestyle - Sugar', 'Lifestyle - Whole Grain', 'Mediterranean Diet', 'Plant Powered']"
crisps,https://www.nutritionix.com/uk/food/crisps,"['Nutrition Facts', 'Crisps', 'Serving Size:', 'grams (28g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 86', 'Calories 149', 'Total Fat 9.5g', 'grams', 'Saturated Fat 0.9g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 2.3g', 'grams', 'Monounsaturated Fat 5.3g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0.4g', 'grams', 'Potassium 335mg', 'milligrams', 'Total Carbohydrates 15g', 'grams', 'Dietary Fiber 0.9g', 'grams', 'Sugars 0.1g', 'grams', 'Protein 1.8g', 'grams']","Food / Beverages > Grocery > Snack Foods > Chips, Puffs, & Crisps","['Cholesterol Free', 'Low Cholesterol', 'Low Saturated Fat', 'Sugar Free']"
grilled-cheese,https://www.nutritionix.com/uk/food/grilled-cheese,"['Nutrition Facts', 'Grilled Cheese', 'Serving Size:', 'grams (106g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 206', 'Calories 366', 'Total Fat 23g', 'grams', 'Saturated Fat 13g', 'grams', 'Trans Fat 0.9g', 'grams', 'Polyunsaturated Fat 1.7g', 'grams', 'Monounsaturated Fat 5.9g', 'grams', 'Cholesterol 63mg', 'milligrams', 'Salt 2.2g', 'grams', 'Potassium 185mg', 'milligrams', 'Total Carbohydrates 28g', 'grams', 'Dietary Fiber 1.4g', 'grams', 'Sugars 5.4g', 'grams', 'Protein 12g', 'grams']",Food / Beverages > Bakery / Deli > Prepared & Preserved Foods > Burritos / Sandwiches / Wraps (Perishable),['Contains Trans Fat']
spongefinger,https://www.nutritionix.com/uk/food/spongefinger,"['Nutrition Facts', 'Spongefinger', 'Serving Size:', 'grams (11g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 9', 'Calories 40', 'Total Fat 1g', 'grams', 'Saturated Fat 0.3g', 'grams', 'Polyunsaturated Fat 0.2g', 'grams', 'Monounsaturated Fat 0.4g', 'grams', 'Cholesterol 24mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 12mg', 'milligrams', 'Total Carbohydrates 6.6g', 'grams', 'Dietary Fiber 0.1g', 'grams', 'Protein 1.2g', 'grams']",Food / Beverages > Grocery > Prepared & Preserved Foods > Desserts,"['Saturated Fat Free', 'Low Saturated Fat', 'Low Sodium', 'Sugar Free']"
sweeties,https://www.nutritionix.com/uk/food/sweeties,"['Nutrition Facts', 'Sweeties', 'Serving Size:', 'grams (6g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.1', 'Calories 24', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 0.3mg', 'milligrams', 'Total Carbohydrates 5.9g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 3.8g', 'grams', 'Protein 0g', 'grams']",Food / Beverages > Grocery > Confectionery / Desserts / Sweeteners > Candy & Confectioneries (Shelf-Stable),"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
self-raising-flour,https://www.nutritionix.com/uk/food/self-raising-flour,"['Nutrition Facts', 'Self Raising Flour', 'Serving Size:', 'grams (125g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 11', 'Calories 443', 'Total Fat 1.2g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Polyunsaturated Fat 0.5g', 'grams', 'Monounsaturated Fat 0.1g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 3.7g', 'grams', 'Potassium 155mg', 'milligrams', 'Total Carbohydrates 93g', 'grams', 'Dietary Fiber 3.4g', 'grams', 'Sugars 0.3g', 'grams', 'Protein 12g', 'grams']",Food / Beverages > Grocery > Baking & Cooking > Flour,"['Cholesterol Free', 'Low Cholesterol', 'Low Fat', 'Good Source of Fiber', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
fairy-cake,https://www.nutritionix.com/uk/food/fairy-cake,null,null,null
all-purpose-flour,https://www.nutritionix.com/uk/food/all-purpose-flour,"['Nutrition Facts', 'All Purpose Flour', 'Serving Size:', 'grams (125g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 11', 'Calories 455', 'Total Fat 1.2g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Polyunsaturated Fat 0.5g', 'grams', 'Monounsaturated Fat 0.1g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 134mg', 'milligrams', 'Total Carbohydrates 95g', 'grams', 'Dietary Fiber 3.4g', 'grams', 'Sugars 0.3g', 'grams', 'Protein 13g', 'grams']",Food / Beverages > Grocery > Baking & Cooking > Flour,"['Cholesterol Free', 'Low Cholesterol', 'Low Fat', 'Good Source of Fiber', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Sugar Free', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Good Source of Fiber - FDA Shelf Tag', 'No Milk Ingredients', 'No Soy Ingredients', 'No Fish Ingredients', 'No Crustacean Shellfish Ingredients', 'No Molluscan Shellfish Ingredients', 'No Tree Nut Ingredients', 'No Peanut Ingredients', 'No Egg Ingredients', 'No Added Sugars', 'No Artificial Sweeteners', 'No Artificial Colors', 'No Artificial Flavors', 'No High Fructose Corn Syrup', 'No Added Salt', 'No Artificial Preservatives', 'No Artificial Ingredients', 'Vegan', 'Vegetarian', 'Pescatarian', '5 Ingredients or Less', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Sugar Free - FDA Shelf Tag', 'Lifestyle - Protein', 'Lifestyle - Sodium', 'Lifestyle - Sugar']"
jello,https://www.nutritionix.com/uk/food/jello,"['Nutrition Facts', 'Jello', 'Serving Size:', 'grams (20g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.1', 'Calories 56', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 15mg', 'milligrams', 'Total Carbohydrates 14g', 'grams', 'Dietary Fiber 0.2g', 'grams', 'Sugars 9.7g', 'grams', 'Protein 0.1g', 'grams']",Food / Beverages > Grocery > Condiments > Fruit-Based Spreads,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
back-bacon-trimmed,https://www.nutritionix.com/uk/food/back-bacon-trimmed,"['Nutrition Facts', 'Back Bacon Trimmed', 'Serving Size:', 'grams (14g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3.5', 'Calories 20', 'Total Fat 0.4g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.2g', 'grams', 'Cholesterol 9.2mg', 'milligrams', 'Salt 0.3g', 'grams', 'Potassium 138mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 3.9g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Bacon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
ham,https://www.nutritionix.com/uk/food/ham,"['Nutrition Facts', 'Ham', 'Serving Size:', 'grams (134g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 62', 'Calories 186', 'Total Fat 6.8g', 'grams', 'Saturated Fat 1.3g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.8g', 'grams', 'Monounsaturated Fat 2.6g', 'grams', 'Cholesterol 86mg', 'milligrams', 'Salt 3.3g', 'grams', 'Potassium 462mg', 'milligrams', 'Total Carbohydrates 1.4g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 1.4g', 'grams', 'Protein 30g', 'grams']","Food / Beverages > Bakery / Deli > Prepared & Preserved Foods > Prepared Meats, Poultry & Seafood > Cooked Meat (Perishable)","['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Low Carb', 'Carb Friendly']"
cupcake,https://www.nutritionix.com/uk/food/cupcake,null,null,null
candy,https://www.nutritionix.com/uk/food/candy,"['Nutrition Facts', 'Candy', 'Serving Size:', 'grams (6g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.1', 'Calories 24', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 0.3mg', 'milligrams', 'Total Carbohydrates 5.9g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 3.8g', 'grams', 'Protein 0g', 'grams']",Food / Beverages > Grocery > Confectionery / Desserts / Sweeteners > Candy & Confectioneries (Shelf-Stable),"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
porridge,https://www.nutritionix.com/uk/food/porridge,"['Nutrition Facts', 'Porridge', 'Serving Size:', 'grams (234g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 32', 'Calories 166', 'Total Fat 3.6g', 'grams', 'Saturated Fat 0.7g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 1.3g', 'grams', 'Monounsaturated Fat 1g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 164mg', 'milligrams', 'Total Carbohydrates 28g', 'grams', 'Dietary Fiber 4g', 'grams', 'Sugars 0.6g', 'grams', 'Protein 5.9g', 'grams']",Food / Beverages > Grocery > Prepared & Preserved Foods > Grain Based Products (Shelf Stable),"['Cholesterol Free', 'Low Cholesterol', 'Good Source of Fiber', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Lifestyle - Protein', 'Lifestyle - Sodium']"
jam,https://www.nutritionix.com/uk/food/jam,"['Nutrition Facts', 'Jam', 'Serving Size:', 'grams (20g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.1', 'Calories 56', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 15mg', 'milligrams', 'Total Carbohydrates 14g', 'grams', 'Dietary Fiber 0.2g', 'grams', 'Sugars 9.7g', 'grams', 'Protein 0.1g', 'grams']",Food / Beverages > Grocery > Condiments > Fruit-Based Spreads,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
candy-floss,https://www.nutritionix.com/uk/food/candy-floss,"['Nutrition Facts', 'Candy Floss', 'Serving Size:', 'grams (26g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0', 'Calories 102', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 0.5mg', 'milligrams', 'Total Carbohydrates 26g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 26g', 'grams', 'Protein 0g', 'grams']",Food / Beverages > Grocery > Confectionery / Desserts / Sweeteners > Candy & Confectioneries (Shelf-Stable),"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
savoury-biscuit,https://www.nutritionix.com/uk/food/savoury-biscuit,"['Nutrition Facts', 'Savoury Biscuit', 'Serving Size:', 'grams (4g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 9.5', 'Calories 20', 'Total Fat 1.1g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.5g', 'grams', 'Monounsaturated Fat 0.3g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0.1g', 'grams', 'Potassium 4.7mg', 'milligrams', 'Total Carbohydrates 2.5g', 'grams', 'Dietary Fiber 0.1g', 'grams', 'Sugars 0.3g', 'grams', 'Protein 0.3g', 'grams']",Food / Beverages > Grocery > Snack Foods > Crackers & Crispbreads,"['Atkins 100', 'Atkins Friendly', 'Low Carb', 'Cholesterol Free', 'Low Cholesterol', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
sausage,https://www.nutritionix.com/uk/food/sausage,"['Nutrition Facts', 'Sausage', 'Serving Size:', 'grams (46g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 113', 'Calories 150', 'Total Fat 13g', 'grams', 'Saturated Fat 4.1g', 'grams', 'Trans Fat 0.1g', 'grams', 'Polyunsaturated Fat 2.4g', 'grams', 'Monounsaturated Fat 5.3g', 'grams', 'Cholesterol 40mg', 'milligrams', 'Salt 0.9g', 'grams', 'Potassium 157mg', 'milligrams', 'Total Carbohydrates 0.7g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.5g', 'grams', 'Protein 8.5g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Sausage,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Low Carb', 'Carb Friendly', 'Ketogenic Diet']"
toastie,https://www.nutritionix.com/uk/food/toastie,"['Nutrition Facts', 'Toastie', 'Serving Size:', 'grams (106g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 206', 'Calories 366', 'Total Fat 23g', 'grams', 'Saturated Fat 13g', 'grams', 'Trans Fat 0.9g', 'grams', 'Polyunsaturated Fat 1.7g', 'grams', 'Monounsaturated Fat 5.9g', 'grams', 'Cholesterol 63mg', 'milligrams', 'Salt 2.2g', 'grams', 'Potassium 185mg', 'milligrams', 'Total Carbohydrates 28g', 'grams', 'Dietary Fiber 1.4g', 'grams', 'Sugars 5.4g', 'grams', 'Protein 12g', 'grams']",Food / Beverages > Bakery / Deli > Prepared & Preserved Foods > Burritos / Sandwiches / Wraps (Perishable),['Contains Trans Fat']
cider,https://www.nutritionix.com/uk/food/cider,"['Nutrition Facts', 'Cider', 'Serving Size:', 'ml (350g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0', 'Calories 196', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 189mg', 'milligrams', 'Total Carbohydrates 21g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 21g', 'grams', 'Protein 0g', 'grams']",Food / Beverages > Beverages > Fermented Beverages,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
